Country name,2019 year,2019 Life Ladder,2019 Log GDP per capita,2019 Social support,2019 Healthy life expectancy at birth,2019 Freedom to make life choices,2019 Generosity,2019 Perceptions of corruption,2019 Positive affect,2019 Negative affect,"COVID-19 deaths per 100,000 population in 2020",Median age,Index of institutional trust,Gini coefficient of income,"Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
Hungary,2019,6.0,10.392999999999999,0.9470000000000001,68.0,0.7979999999999999,-0.195,0.884,0.743,0.18,98.723,43.4,0.253,28.7,128.939
Iceland,2019,7.5329999999999995,10.931,0.982,73.0,0.9590000000000001,,0.6990000000000001,0.836,0.17800000000000002,8.498,37.3,0.325,24.1,21.445
India,2019,3.2489999999999997,8.818,0.561,60.5,0.8759999999999999,0.11199999999999999,0.752,0.648,0.466,10.777999999999999,28.2,0.526,39.334,
Indonesia,2019,5.347,9.377,0.802,62.3,0.866,0.555,0.861,0.877,0.302,8.094,29.3,0.561,37.478,
Iran,2019,5.006,,0.698,66.3,0.623,,0.728,0.6,0.449,65.747,32.4,0.36700000000000005,39.97,
Ireland,2019,7.255,11.370999999999999,0.9440000000000001,72.4,0.892,0.07400000000000001,0.373,0.807,0.223,45.303999999999995,38.7,0.431,30.6,32.32
Israel,2019,7.332000000000001,10.600999999999999,0.946,73.5,0.8340000000000001,0.085,0.743,0.635,0.266,38.415,30.6,0.262,34.4,51.918
Italy,2019,6.445,10.655,0.838,73.8,0.7090000000000001,-0.08199999999999999,0.866,0.631,0.32799999999999996,122.654,47.9,0.076,33.4,182.298
Ivory Coast,2019,5.392,8.564,0.679,50.1,0.736,-0.017,0.799,0.674,0.425,0.519,18.7,0.285,48.593999999999994,
Jamaica,2019,6.309,9.186,0.878,67.5,0.8909999999999999,-0.13699999999999998,0.885,0.752,0.195,10.199,31.4,0.133,37.48,
Japan,2019,5.9079999999999995,10.632,0.878,75.1,0.8059999999999999,-0.255,0.617,0.743,0.19399999999999998,2.603,48.2,0.317,33.9,10.146
Jordan,2019,4.453,9.201,0.7929999999999999,67.0,0.726,-0.165,,,,37.577,23.2,0.465,33.1,
Kazakhstan,2019,6.272,10.179,0.951,65.2,0.852,-0.055,0.708,0.787,0.139,14.704,30.6,0.35200000000000004,27.45,267.188
Kenya,2019,4.619,8.373,0.6759999999999999,60.7,0.818,0.31,0.794,0.7509999999999999,0.251,3.1060000000000003,20.0,0.331,40.78,
Kosovo,2019,6.425,9.339,0.843,,0.841,0.247,0.92,0.7490000000000001,0.141,68.916,35.0,0.16899999999999998,29.01,110.329
Kuwait,2019,6.106,10.817,0.8420000000000001,66.9,0.867,-0.10400000000000001,,0.695,0.303,21.871,33.7,0.38799999999999996,36.02,
Kyrgyzstan,2019,5.685,8.567,0.877,64.4,0.92,-0.002,0.885,0.7659999999999999,0.207,20.769000000000002,26.3,0.18600000000000003,27.34,105.184
Laos,2019,5.197,8.965,0.7290000000000001,59.1,0.9059999999999999,0.061,0.62,0.878,0.306,0.0,24.4,0.708,36.39,
Latvia,2019,5.97,10.335999999999999,0.9359999999999999,67.1,0.698,-0.19399999999999998,0.789,0.575,0.212,33.666,43.9,0.096,35.6,33.921
Lebanon,2019,4.024,9.597000000000001,0.866,67.6,0.447,-0.081,0.89,0.322,0.494,21.508000000000003,31.1,0.107,31.83,
Lesotho,2019,3.512,7.926,0.79,48.7,0.716,-0.131,0.915,0.735,0.273,2.381,24.0,0.27899999999999997,54.18,
Liberia,2019,5.121,7.263999999999999,0.7120000000000001,56.9,0.706,0.051,0.828,0.636,0.389,1.641,19.2,0.273,35.27,
Libya,2019,5.33,9.627,0.8270000000000001,62.3,0.762,-0.073,0.6859999999999999,0.7090000000000001,0.401,21.51,29.0,0.311,30.2,
